name,engine,seed,minutes,arrivals,patientsProcessedPerDay,annualThroughput,averageWaitingMinutes,estimatedAverageTotalScreeningMinutes,captureAverageWaitMinutes,aiAverageWaitMinutes,reviewAverageWaitMinutes,maximumCaptureQueue,maximumAIQueue,maximumReviewQueue,maximumObservedTotalQueue,cameraUtilization,aiUtilization,reviewerUtilization,bottleneck,bottleneckUtilization,imageSizeMB,bandwidthMbps,networkDelayMinutesPerImage,networkDelayContributionMinutes,referableCount,uncertainCount,retakeCount,routineCompleted,reviewedCompleted,unfinished
baseline_rural_clinic,SimEvents R2026a,26038,480,51,51,12750,3.78503450702501,16.1713090168289,3.66738744820148,0,0.315789473684211,3,1,1,3,0.717320283127534,0.127639746095394,0.321494101301306,camera,0.717320283127534,5,10,1.5,76.4999999999998,14,5,6,32,19,0
network_constrained,SimEvents R2026a,26038,480,51,49,12250,3.78983642779332,22.897759597061,3.66738744820148,0,0.315789473684211,3,1,1,4,0.717320283127534,0.122787918981873,0.317067955570892,camera,0.717320283127534,5,0.1,8.1,396.9,14,5,6,30,19,2
increased_patient_load,SimEvents R2026a,26038,480,108,68,17000,81.4733550250643,93.3792373780054,81.3887962015348,0,0.25,38,1,1,38,0.984785376187772,0.173246964190124,0.384993253755833,camera,0.984785376187772,5,10,1.5,103.5,19,5,9,45,23,40
additional_camera,SimEvents R2026a,26038,480,108,105,26250,2.41825105538176,14.6801558172865,1.68995401008397,0.062806589287805,1.83885520739603,3,1,2,4,0.739734454725187,0.268309502897899,0.635041705007807,camera,0.739734454725187,5,10,1.5,159,30,9,12,67,38,3
additional_reviewer,SimEvents R2026a,26038,480,108,68,17000,81.3887962015348,93.294678554476,81.3887962015348,0,0,38,1,1,38,0.984785376187772,0.173246964190124,0.192496626877917,camera,0.984785376187772,5,10,1.5,103.5,19,5,9,45,23,40
priority_review,SimEvents R2026a,26038,480,108,73,18250,36.5549899176067,52.1682319267391,1.68995401008397,0.062806589287805,66.8569142166092,3,1,32,32,0.739734454725187,0.268309502897899,0.963793384113979,human reviewer,0.963793384113979,5,10,1.5,159,61,10,12,35,38,35
district_100k_annual,SimEvents R2026a,26044,600,521,508,127000,10.7832325031908,23.0130887759552,10.4950220464595,0.27291262578779,0.0429353487255417,30,4,1,30,0.959531251581574,0.509398568967306,0.605016750381071,camera,0.959531251581574,5,10,1.5,763.499999999998,145,37,59,327,181,13
